year,week,Rank,LW,Release,Gross,%± LW,Theaters,Change,Average,Total Gross,Weeks,Distributor
2021,1,23,-,Evergreen,$525,-,1,-,$525,"$1,526",2,Indican Pictures
2021,1,24,26,The Rescue,$307,-82.2%,3,-6,$102,"$18,797",3,CMC Pictures
2021,1,25,28,100% Wolf,$250,-,2,-,$125,"$515,207",13,Viva Pictures
2021,2,1,1,Wonder Woman 1984,"$3,606,246",-45.3%,"2,218",+67,"$1,625","$33,207,464",3,Warner Bros.
2021,2,2,2,The Croods: A New Age,"$2,183,815",-20%,"1,818",+67,"$1,201","$37,249,465",8,Universal Pictures
2021,2,3,3,News of the World,"$1,593,370",-25.7%,"1,986",+58,$802,"$7,454,340",3,Universal Pictures
2021,2,4,4,Monster Hunter,"$1,404,697",-16.7%,"1,765",-42,$795,"$8,110,107",4,Screen Gems
2021,2,5,5,Fatale,"$871,642",-8.5%,"1,222",+39,$713,"$4,212,845",4,Lionsgate Films
2021,2,6,6,Promising Young Woman,"$769,115",-18.1%,"1,448",+115,$531,"$2,916,295",3,Focus Features
2021,2,7,7,Pinocchio,"$277,142",-33.3%,821,-3,$337,"$1,181,363",3,Roadside Attractions
2021,2,8,8,The War with Grandpa,"$187,461",-2.3%,385,+80,$486,"$19,081,450",14,101 Studios
2021,2,9,10,Come Play,"$125,030",+59.4%,151,+41,$828,"$9,709,030",11,Focus Features
2021,2,10,13,Shadow in the Cloud,"$83,167",+60.3%,107,+37,$777,"$135,033",2,Vertical Entertainment
2021,2,11,12,Half Brothers,"$73,345",+41.2%,167,+33,$439,"$2,141,430",6,Focus Features
2021,2,12,9,Freaky,"$69,465",-11.8%,172,-29,$403,"$8,850,310",9,Universal Pictures
2021,2,13,11,Alien2020 Re-release,"$60,000",-20%,456,-49,$131,"$135,000",2,Walt Disney Studios Motion Pictures
2021,2,14,14,Tenet,"$36,421",-2.9%,101,-19,$360,"$58,118,106",20,Warner Bros.
2021,2,15,-,Jurassic World2021 Re-release,"$25,000",-,80,-,$312,"$25,000",1,Universal Pictures
2021,2,16,-,Some Kind of Heaven,"$13,271",-,54,-,$245,"$13,271",1,Magnolia Pictures
2021,2,17,-,Always and Forever,"$10,077",-,1,-,"$10,077","$162,933",8,Variance Films
2021,2,18,-,Archenemy,"$5,588",-,1,-,"$5,588","$108,762",5,RLJE Films
2021,2,19,21,Hunter Hunter,"$4,978",+116%,8,+2,$622,"$27,283",4,IFC Films
2021,2,20,-,Average Joe,"$4,830",-,5,-,$966,"$4,830",1,Indican Pictures
2021,2,21,-,Zombie Bro,"$2,226",-,2,-,"$1,113","$2,226",1,Indican Pictures
2021,2,22,-,The Dark and the Wicked,"$1,320",-,1,-,"$1,320","$154,169",10,RLJE Films
2021,2,23,-,"Amigo Skate, Cuba",$800,-,1,-,$800,"$3,032",8,Indican Pictures
2021,2,24,23,Evergreen,$561,+6.9%,1,-,$561,"$2,087",3,Indican Pictures
2021,2,25,25,100% Wolf,$125,-50%,1,-1,$125,"$515,332",14,Viva Pictures
2021,2,26,22,The Forgotten Carols,$59,-96.1%,1,-19,$59,"$502,252",8,Purdie Distribution
2021,3,1,-,The Marksman,"$4,063,794",-,"1,975",-,"$2,057","$4,063,794",1,Open Road Films (II)
2021,3,2,1,Wonder Woman 1984,"$2,835,516",-21.4%,"2,201",-17,"$1,288","$36,042,980",4,Warner Bros.
2021,3,3,2,The Croods: A New Age,"$2,765,990",+26.7%,"1,855",+37,"$1,491","$40,015,455",9,Universal Pictures
2021,3,4,3,News of the World,"$1,387,525",-12.9%,"1,953",-33,$710,"$8,841,865",4,Universal Pictures
2021,3,5,4,Monster Hunter,"$1,264,719",-10%,"1,694",-71,$746,"$9,374,826",5,Screen Gems
2021,3,6,6,Promising Young Woman,"$663,170",-13.8%,"1,333",-115,$497,"$3,579,465",4,Focus Features
2021,3,7,5,Fatale,"$645,757",-25.9%,"1,175",-47,$549,"$4,858,602",5,Lionsgate Films
2021,3,8,8,The War with Grandpa,"$223,964",+19.5%,422,+37,$530,"$19,305,414",15,101 Studios
2021,3,9,7,Pinocchio,"$223,515",-19.4%,660,-161,$338,"$1,404,878",4,Roadside Attractions
2021,3,10,-,The Emperor's New Groove2021 Re-release,"$219,000",-,744,-,$294,"$219,000",1,Walt Disney Studios Motion Pictures
2021,3,11,9,Come Play,"$140,505",+12.4%,159,+8,$883,"$9,849,535",12,Focus Features
2021,3,12,-,American Skin,"$64,032",-,51,-,"$1,255","$64,032",1,Vertical Entertainment
2021,3,13,11,Half Brothers,"$58,705",-20%,151,-16,$388,"$2,200,135",7,Focus Features
2021,3,14,12,Freaky,"$56,395",-18.8%,136,-36,$414,"$8,906,705",10,Universal Pictures
2021,3,15,-,Sing2021 Re-release,"$53,000",-,85,-,$623,"$53,000",1,Universal Pictures
2021,3,16,-,MLK/FBI,"$35,406",-,120,-,$295,"$35,406",1,IFC Films
2021,3,17,-,Bloody Hell,"$19,342",-,21,-,$921,"$19,342",2,Entertainment Squad
2021,3,18,14,Tenet,"$17,704",-51.4%,83,-18,$213,"$58,135,810",21,Warner Bros.
2021,3,19,10,Shadow in the Cloud,"$16,793",-79.8%,68,-39,$246,"$151,826",3,Vertical Entertainment
2021,3,20,16,Some Kind of Heaven,"$15,154",+14.2%,79,+25,$191,"$28,425",2,Magnolia Pictures
2021,3,21,19,Hunter Hunter,"$3,649",-26.7%,4,-4,$912,"$30,932",5,IFC Films
2021,3,22,-,Mother to Earth,$446,-,-,-,-,$446,-,54&O Productions
2021,3,23,25,100% Wolf,$154,+23.2%,1,-,$154,"$515,486",15,Viva Pictures
2021,4,1,1,The Marksman,"$2,514,673",-38.1%,"2,018",+43,"$1,246","$6,578,467",2,Open Road Films (II)
2021,4,2,3,The Croods: A New Age,"$2,091,610",-24.4%,"1,876",+21,"$1,114","$42,107,065",10,Universal Pictures
2021,4,3,2,Wonder Woman 1984,"$1,892,294",-33.3%,"2,013",-188,$940,"$37,935,274",5,Warner Bros.
2021,4,4,5,Monster Hunter,"$1,027,981",-18.7%,"1,661",-33,$618,"$10,402,807",6,Screen Gems
2021,4,5,4,News of the World,"$975,060",-29.7%,"1,953",-,$499,"$9,816,925",5,Universal Pictures
2021,4,6,6,Promising Young Woman,"$521,405",-21.4%,"1,333",-,$391,"$4,100,870",5,Focus Features
2021,4,7,7,Fatale,"$515,000",-20.2%,"1,175",-,$438,"$5,373,602",6,Lionsgate Films
2021,4,8,-,Our Friend,"$311,060",-,543,-,$572,"$311,060",1,Gravitas Ventures
2021,4,9,8,The War with Grandpa,"$189,719",-15.3%,507,+85,$374,"$19,495,133",16,101 Studios
2021,4,10,9,Pinocchio,"$159,621",-28.6%,602,-58,$265,"$1,564,499",5,Roadside Attractions
2021,4,11,11,Come Play,"$118,110",-15.9%,159,-,$742,"$9,967,645",13,Focus Features
2021,4,12,10,The Emperor's New Groove2021 Re-release,"$115,000",-47.5%,635,-109,$181,"$334,000",2,Walt Disney Studios Motion Pictures
2021,4,13,-,Heaven,"$87,337",-,200,-,$436,"$198,569",17,LAMA Entertainment
2021,4,14,-,Wrong Turn,"$79,710",-,201,-,$396,"$79,710",1,Saban Films
2021,4,15,-,No Man's Land,"$78,305",-,254,-,$308,"$78,305",1,IFC Films
2021,4,16,12,American Skin,"$70,989",+10.9%,72,+21,$985,"$135,021",2,Vertical Entertainment
2021,4,17,-,Abominable2021 Re-release,"$55,000",-,140,-,$392,"$55,000",1,Universal Pictures
2021,4,18,-,Psycho Goreman,"$54,692",-,45,-,"$1,215","$54,692",1,RLJE Films
2021,4,19,14,Freaky,"$50,335",-10.7%,134,-2,$375,"$8,957,040",11,Universal Pictures
2021,4,20,-,Jurassic World2021 Re-release,"$45,000",-,150,-,$300,"$70,000",3,Universal Pictures
2021,4,21,13,Half Brothers,"$41,845",-28.7%,108,-43,$387,"$2,241,980",8,Focus Features
2021,4,22,18,Tenet,"$18,984",+7.2%,90,+7,$210,"$58,154,794",22,Warner Bros.
2021,4,23,-,About Hope,"$10,814",-,-,-,-,"$10,814",1,Nova Vento Entertainment
2021,4,24,17,Bloody Hell,"$8,695",-55%,17,-4,$511,"$28,037",3,Entertainment Squad
2021,4,25,-,Always and Forever,"$8,452",-,1,-,"$8,452","$188,564",10,Variance Films
2021,4,26,16,MLK/FBI,"$7,503",-78.8%,79,-41,$94,"$42,909",2,IFC Films
2021,4,27,20,Some Kind of Heaven,"$7,204",-52.5%,38,-41,$189,"$35,629",3,Magnolia Pictures
2021,4,28,-,Archenemy,"$6,459",-,1,-,"$6,459","$121,642",7,RLJE Films
2021,4,29,19,Shadow in the Cloud,"$4,478",-73.3%,22,-46,$203,"$156,304",4,Vertical Entertainment
2021,4,30,-,Average Joe,"$2,534",-,2,-,"$1,267","$9,176",3,Indican Pictures
2021,4,31,-,Mother to Earth,"$1,804",-,-,-,-,"$2,250",1,54&O Productions
2021,4,32,21,Hunter Hunter,"$1,773",-51.4%,3,-1,$591,"$32,705",6,IFC Films
2021,4,33,-,Zombie Bro,$846,-,1,-,$846,"$4,086",3,Indican Pictures
2021,4,34,-,The Dark and the Wicked,$762,-,1,-,$762,"$155,967",12,RLJE Films
2021,4,35,-,In the Life of Music,$720,-,1,-,$720,"$6,901",24,Indican Pictures
2021,4,36,-,The Bra,$572,-,1,-,$572,"$8,314",15,Indican Pictures
2021,4,37,-,Evergreen,$517,-,1,-,$517,"$2,604",5,Indican Pictures
2021,5,1,-,The Little Things,"$5,620,268",-,"2,171",-,"$2,588","$5,620,268",1,Warner Bros.
2021,5,2,2,The Croods: A New Age,"$2,152,485",+2.9%,"1,901",+25,"$1,132","$44,259,550",11,Universal Pictures
2021,5,3,1,The Marksman,"$1,534,978",-39%,"2,018",-,$760,"$8,113,445",3,Open Road Films (II)
2021,5,4,3,Wonder Woman 1984,"$1,497,102",-20.9%,"1,864",-149,$803,"$39,432,376",6,Warner Bros.
2021,5,5,4,Monster Hunter,"$894,088",-13%,"1,515",-146,$590,"$11,296,895",7,Screen Gems
2021,5,6,5,News of the World,"$666,805",-31.6%,"1,674",-279,$398,"$10,483,730",6,Universal Pictures
2021,5,7,6,Promising Young Woman,"$352,805",-32.3%,"1,056",-277,$334,"$4,453,675",6,Focus Features
2021,5,8,7,Fatale,"$282,640",-45.1%,"1,022",-153,$276,"$5,656,242",7,Lionsgate Films
2021,5,9,8,Our Friend,"$182,191",-41.4%,818,+275,$222,"$493,251",2,Gravitas Ventures
2021,5,10,9,The War with Grandpa,"$161,943",-14.6%,525,+18,$308,"$19,657,076",17,101 Studios
2021,5,11,-,Groundhog Day2021 Re-release,"$141,104",-,845,-,$166,"$141,104",1,Sony Pictures Classics
2021,5,12,-,Supernova,"$118,746",-,330,-,$359,"$118,746",1,Bleecker Street Media
2021,5,13,11,Come Play,"$111,925",-5.2%,164,+5,$682,"$10,079,570",14,Focus Features
2021,5,14,10,Pinocchio,"$91,606",-42.6%,395,-207,$231,"$1,656,105",6,Roadside Attractions
2021,5,15,-,Remember the Titans2021 Re-release,"$65,000",-,-,-,-,"$65,000",1,Walt Disney Studios Motion Pictures
2021,5,16,17,Abominable2021 Re-release,"$55,000",-,185,+45,$297,"$110,000",2,Universal Pictures
2021,5,17,20,Jurassic World2021 Re-release,"$45,000",-,200,+50,$225,"$115,000",4,Universal Pictures
2021,5,18,13,Heaven,"$44,092",-49.5%,200,-,$220,"$242,661",18,LAMA Entertainment
2021,5,19,19,Freaky,"$41,410",-17.7%,150,+16,$276,"$8,998,450",12,Universal Pictures
2021,5,20,16,American Skin,"$35,853",-49.5%,55,-17,$651,"$170,874",3,Vertical Entertainment
2021,5,21,-,Earwig and the Witch,"$32,827",-,430,-,$76,"$32,827",1,GKIDS
2021,5,22,15,No Man's Land,"$31,134",-60.2%,181,-73,$172,"$109,439",2,IFC Films
2021,5,23,-,The Night,"$15,567",-,33,-,$471,"$15,567",1,IFC Films
2021,5,24,18,Psycho Goreman,"$11,977",-78.1%,32,-13,$374,"$66,669",2,RLJE Films
2021,5,25,22,Tenet,"$10,157",-46.5%,85,-5,$119,"$58,164,951",23,Warner Bros.
2021,5,26,25,Always and Forever,"$5,612",-33.6%,1,-,"$5,612","$194,176",11,Variance Films
2021,5,27,-,Tomato Red: Blood Money,"$3,324",-,2,-,"$1,662","$3,324",1,Indican Pictures
2021,5,28,27,Some Kind of Heaven,"$2,015",-72%,10,-28,$201,"$37,644",4,Magnolia Pictures
2021,5,29,26,MLK/FBI,"$1,570",-79.1%,18,-61,$87,"$44,479",3,IFC Films
2021,5,30,34,The Dark and the Wicked,$660,-13.4%,1,-,$660,"$156,627",13,RLJE Films
2021,5,31,29,Shadow in the Cloud,$628,-86%,6,-16,$104,"$156,932",5,Vertical Entertainment
2021,5,32,33,Zombie Bro,$399,-52.8%,1,-,$399,"$4,485",4,Indican Pictures
2021,5,33,35,In the Life of Music,$192,-73.3%,1,-,$192,"$7,238",25,Indican Pictures
2021,6,1,1,The Little Things,"$2,579,980",-54.1%,"2,206",+35,"$1,169","$8,200,248",2,Warner Bros.
2021,6,2,2,The Croods: A New Age,"$2,019,160",-6.2%,"1,935",+34,"$1,043","$46,278,710",12,Universal Pictures
2021,6,3,3,The Marksman,"$1,209,940",-21.2%,"2,018",-,$599,"$9,323,385",4,Open Road Films (II)
2021,6,4,4,Wonder Woman 1984,"$1,114,406",-25.6%,"1,818",-46,$612,"$40,546,782",7,Warner Bros.
2021,6,5,5,Monster Hunter,"$740,273",-17.2%,"1,467",-48,$504,"$12,037,168",8,Screen Gems
2021,6,6,6,News of the World,"$488,800",-26.7%,"1,537",-137,$318,"$10,972,530",7,Universal Pictures
2021,6,7,7,Promising Young Woman,"$286,640",-18.8%,923,-133,$310,"$4,740,315",7,Focus Features
2021,6,8,8,Fatale,"$218,864",-22.6%,864,-158,$253,"$5,875,106",8,Lionsgate Films
2021,6,9,10,The War with Grandpa,"$188,894",+16.6%,530,+5,$356,"$19,845,970",18,101 Studios
2021,6,10,9,Our Friend,"$110,913",-39.1%,627,-191,$176,"$604,164",3,Gravitas Ventures
2021,6,11,13,Come Play,"$100,160",-10.5%,166,+2,$603,"$10,179,730",15,Focus Features
2021,6,12,21,Earwig and the Witch,"$99,008",+201.6%,430,-,$230,"$131,835",2,GKIDS
2021,6,13,-,The Reckoning,"$83,770",-,175,-,$478,"$83,770",1,RLJE Films
2021,6,14,12,Supernova,"$73,827",-37.8%,328,-2,$225,"$192,573",2,Bleecker Street Media
2021,6,15,14,Pinocchio,"$71,119",-22.4%,292,-103,$243,"$1,727,224",7,Roadside Attractions
2021,6,16,19,Freaky,"$32,405",-21.7%,127,-23,$255,"$9,030,855",13,Universal Pictures
2021,6,17,-,Little Fish,"$29,236",-,84,-,$348,"$29,236",1,IFC Films
2021,6,18,20,American Skin,"$25,853",-27.9%,39,-16,$662,"$196,727",4,Vertical Entertainment
2021,6,19,-,Dara of Jasenovac,"$25,530",-,12,-,"$2,127","$25,530",1,101 Studios
2021,6,20,11,Groundhog Day2021 Re-release,"$25,343",-82%,135,-710,$187,"$166,447",2,Sony Pictures Classics
2021,6,21,22,No Man's Land,"$17,401",-44.1%,72,-109,$241,"$126,840",3,IFC Films
2021,6,22,18,Heaven,"$16,662",-62.2%,131,-69,$127,"$259,323",19,LAMA Entertainment
2021,6,23,24,Psycho Goreman,"$15,146",+26.5%,16,-16,$946,"$81,815",3,RLJE Films
2021,6,24,-,Wrong Turn,"$15,010",-,35,-,$428,"$202,617",3,Saban Films
2021,6,25,25,Tenet,"$9,018",-11.2%,80,-5,$112,"$58,173,969",24,Warner Bros.
2021,6,26,23,The Night,"$7,868",-49.5%,35,+2,$224,"$23,435",2,IFC Films
2021,6,27,-,Two of Us,"$4,131",-,27,-,$153,"$4,131",1,Magnolia Pictures
2021,6,28,26,Always and Forever,"$3,288",-41.4%,1,-,"$3,288","$197,464",12,Variance Films
2021,6,29,-,A Glitch in the Matrix,"$2,238",-,19,-,$117,"$2,238",1,Magnolia Pictures
2021,6,30,-,Evergreen,"$2,200",-,2,-,"$1,100","$4,804",7,Indican Pictures
2021,6,31,27,Tomato Red: Blood Money,"$1,322",-60.2%,1,-1,"$1,322","$4,646",2,Indican Pictures
2021,6,32,-,Killer Raccoons! 2! Dark Christmas in the Dark!,$900,-,1,-,$900,"$13,282",28,Indican Pictures
2021,6,33,28,Some Kind of Heaven,$777,-61.4%,8,-2,$97,"$38,421",5,Magnolia Pictures
2021,6,34,32,Zombie Bro,$723,+81.2%,1,-,$723,"$5,208",5,Indican Pictures
2021,6,35,29,MLK/FBI,$721,-54.1%,10,-8,$72,"$45,200",4,IFC Films
2021,6,36,30,The Dark and the Wicked,$465,-29.5%,1,-,$465,"$157,092",14,RLJE Films
2021,7,1,2,The Croods: A New Age,"$2,875,495",+42.4%,"1,890",-45,"$1,521","$49,154,205",13,Universal Pictures
2021,7,2,-,Judas and the Black Messiah,"$2,451,061",-,"1,888",-,"$1,298","$2,451,061",1,Warner Bros.
2021,7,3,1,The Little Things,"$2,350,117",-8.9%,"2,090",-116,"$1,124","$10,550,365",3,Warner Bros.
2021,7,4,4,Wonder Woman 1984,"$1,381,606",+24%,"1,681",-137,$821,"$41,928,388",8,Warner Bros.
2021,7,5,3,The Marksman,"$1,351,964",+11.7%,"1,825",-193,$740,"$10,675,349",5,Open Road Films (II)
2021,7,6,-,Land,"$1,126,205",-,"1,231",-,$914,"$1,126,205",1,Focus Features
2021,7,7,5,Monster Hunter,"$860,217",+16.2%,"1,366",-101,$629,"$12,897,385",9,Screen Gems
2021,7,8,6,News of the World,"$489,030",<0.1%,"1,243",-294,$393,"$11,461,560",8,Universal Pictures
2021,7,9,-,Minari,"$271,112",-,786,-,$344,"$271,112",1,A24
2021,7,10,7,Promising Young Woman,"$260,680",-9.1%,733,-190,$355,"$5,000,995",8,Focus Features
2021,7,11,9,The War with Grandpa,"$258,959",+37.1%,525,-5,$493,"$20,104,929",19,101 Studios
2021,7,12,-,The Mauritanian,"$214,552",-,248,-,$865,"$214,552",1,STX Entertainment
2021,7,13,8,Fatale,"$196,567",-10.2%,667,-197,$294,"$6,071,673",9,Lionsgate Films
2021,7,14,-,Willy's Wonderland,"$127,672",-,123,-,"$1,037","$127,672",1,Screen Media Films
2021,7,15,11,Come Play,"$121,185",+21%,148,-18,$818,"$10,300,915",16,Focus Features
2021,7,16,-,A Writer's Odyssey,"$73,956",-,117,-,$632,"$73,956",1,CMC Pictures
2021,7,17,-,The World to Come,"$65,964",-,277,-,$238,"$65,964",1,Bleecker Street Media
2021,7,18,15,Pinocchio,"$56,193",-21%,201,-91,$279,"$1,783,417",8,Roadside Attractions
2021,7,19,13,The Reckoning,"$38,040",-54.6%,123,-52,$309,"$121,810",2,RLJE Films
2021,7,20,10,Our Friend,"$37,555",-66.1%,288,-339,$130,"$641,719",4,Gravitas Ventures
2021,7,21,18,American Skin,"$29,024",+12.3%,20,-19,"$1,451","$225,751",5,Vertical Entertainment
2021,7,22,14,Supernova,"$27,370",-62.9%,179,-149,$152,"$219,943",3,Bleecker Street Media
2021,7,23,12,Earwig and the Witch,"$26,522",-73.2%,80,-350,$331,"$158,357",3,GKIDS
2021,7,24,19,Dara of Jasenovac,"$12,043",-52.8%,21,+9,$573,"$37,573",2,101 Studios
2021,7,25,-,Adverse,"$9,575",-,25,-,$383,"$9,575",1,N/A
2021,7,26,25,Tenet,"$9,161",+1.6%,65,-15,$140,"$58,183,130",25,Warner Bros.
2021,7,27,24,Wrong Turn,"$5,181",-65.5%,9,-26,$575,"$207,798",4,Saban Films
2021,7,28,23,Psycho Goreman,"$3,280",-78.3%,4,-12,$820,"$85,095",4,RLJE Films
2021,7,29,-,The Incredible 25th Year of Mitzi Bearclaw,"$2,893",-,2,-,"$1,446","$2,893",1,Indican Pictures
2021,7,30,27,Two of Us,"$1,364",-67%,13,-14,$104,"$5,495",2,Magnolia Pictures
2021,7,31,30,Evergreen,"$1,219",-44.6%,1,-1,"$1,219","$6,023",8,Indican Pictures
2021,7,32,-,Skyfire,"$1,105",-,-,-,-,"$1,105",1,Screen Media Films
2021,7,33,33,Some Kind of Heaven,$608,-21.8%,2,-6,$304,"$39,029",6,Magnolia Pictures
2021,7,34,31,Tomato Red: Blood Money,$454,-65.7%,1,-,$454,"$5,302",3,Indican Pictures
2021,7,35,36,The Dark and the Wicked,$160,-65.6%,1,-,$160,"$157,252",15,RLJE Films
2021,8,1,1,The Croods: A New Age,"$2,021,180",-29.7%,"1,913",+23,"$1,056","$51,175,385",14,Universal Pictures
2021,8,2,3,The Little Things,"$1,429,712",-39.2%,"2,061",-29,$693,"$11,980,077",4,Warner Bros.
2021,8,3,2,Judas and the Black Messiah,"$1,109,513",-54.7%,"1,906",+18,$582,"$3,560,574",2,Warner Bros.
2021,8,4,4,Wonder Woman 1984,"$985,382",-28.7%,"1,644",-37,$599,"$42,913,770",9,Warner Bros.
2021,8,5,5,The Marksman,"$970,076",-28.2%,"1,643",-182,$590,"$11,645,425",6,Open Road Films (II)
2021,8,6,7,Monster Hunter,"$646,733",-24.8%,"1,311",-55,$493,"$13,544,118",10,Screen Gems
2021,8,7,6,Land,"$642,800",-42.9%,"1,251",+20,$513,"$1,769,005",2,Focus Features
2021,8,8,-,Nomadland,"$503,000",-,"1,175",-,$428,"$503,000",1,Searchlight Pictures
2021,8,9,8,News of the World,"$303,030",-38%,"1,161",-82,$261,"$11,764,590",9,Universal Pictures
2021,8,10,11,The War with Grandpa,"$270,525",+4.5%,653,+128,$414,"$20,375,454",20,101 Studios
2021,8,11,9,Minari,"$209,756",-22.6%,786,-,$266,"$480,868",2,A24
2021,8,12,12,The Mauritanian,"$190,258",-11.3%,287,+39,$662,"$404,810",2,STX Entertainment
2021,8,13,10,Promising Young Woman,"$144,965",-44.4%,679,-54,$213,"$5,145,960",9,Focus Features
2021,8,14,-,Blithe Spirit,"$120,453",-,239,-,$503,"$120,453",1,IFC Films
2021,8,15,13,Fatale,"$118,716",-39.6%,608,-59,$195,"$6,190,389",10,Lionsgate Films
2021,8,16,14,Willy's Wonderland,"$111,900",-12.4%,171,+48,$654,"$239,572",2,Screen Media Films
2021,8,17,15,Come Play,"$88,525",-27%,143,-5,$619,"$10,389,440",17,Focus Features
2021,8,18,18,Pinocchio,"$38,473",-31.5%,164,-37,$234,"$1,821,890",9,Roadside Attractions
2021,8,19,17,The World to Come,"$35,937",-45.5%,276,-1,$130,"$101,901",2,Bleecker Street Media
2021,8,20,16,A Writer's Odyssey,"$30,018",-59.4%,88,-29,$341,"$103,974",2,CMC Pictures
2021,8,21,21,American Skin,"$22,176",-23.6%,16,-4,"$1,386","$247,927",6,Vertical Entertainment
2021,8,22,-,The Violent Heart,"$19,614",-,-,-,-,"$19,614",54,Gravitas Ventures
2021,8,23,19,The Reckoning,"$17,365",-54.4%,70,-53,$248,"$139,175",3,RLJE Films
2021,8,24,-,End Game,"$17,307",-,33,-,$524,"$17,307",2,CMC Pictures
2021,8,25,23,Earwig and the Witch,"$15,347",-42.1%,45,-35,$341,"$173,704",4,GKIDS
2021,8,26,20,Our Friend,"$13,832",-63.2%,131,-157,$105,"$655,551",5,Gravitas Ventures
2021,8,27,26,Tenet,"$7,821",-14.6%,60,-5,$130,"$58,190,951",26,Warner Bros.
2021,8,28,24,Dara of Jasenovac,"$6,648",-44.8%,23,+2,$289,"$44,221",3,101 Studios
2021,8,29,22,Supernova,"$4,079",-85.1%,39,-140,$104,"$224,022",4,Bleecker Street Media
2021,8,30,-,No Man's Land,"$3,912",-,16,-,$244,"$137,194",5,IFC Films
2021,8,31,28,Psycho Goreman,"$3,164",-3.5%,3,-1,"$1,054","$88,259",5,RLJE Films
2021,8,32,25,Adverse,"$3,014",-68.5%,19,-6,$158,"$12,589",2,N/A
2021,8,33,33,Some Kind of Heaven,"$2,489",+309.4%,6,+4,$414,"$41,518",7,Magnolia Pictures
2021,8,34,-,Abandoned: Angelique's Isle,"$2,255",-,1,-,"$2,255","$2,255",1,Indican Pictures
2021,8,35,29,The Incredible 25th Year of Mitzi Bearclaw,"$1,358",-53.1%,1,-1,"$1,358","$4,251",2,Indican Pictures
2021,8,36,-,"Amigo Skate, Cuba",$987,-,1,-,$987,"$4,019",14,Indican Pictures
2021,8,37,-,Elbow Grease,$917,-,5,-,$183,$917,1,N/A
2021,8,38,-,Little Fish,$795,-,51,-,$15,"$38,069",3,IFC Films
2021,8,39,-,The Night,$544,-,3,-,$181,"$26,114",4,IFC Films
2021,8,40,27,Wrong Turn,$270,-94.8%,1,-8,$270,"$208,068",5,Saban Films
2021,8,41,34,Tomato Red: Blood Money,$202,-55.5%,1,-,$202,"$5,504",4,Indican Pictures
2021,9,1,-,Tom & Jerry,"$16,341,601",-,"2,475",-,"$6,602","$16,341,601",1,Warner Bros.
2021,9,2,1,The Croods: A New Age,"$1,656,060",-18.1%,"1,912",-1,$866,"$52,831,445",15,Universal Pictures
2021,9,3,2,The Little Things,"$1,156,148",-19.1%,"1,853",-208,$623,"$13,136,225",5,Warner Bros.
2021,9,4,4,Wonder Woman 1984,"$1,021,558",+3.7%,"1,534",-110,$665,"$43,935,328",10,Warner Bros.
2021,9,5,5,The Marksman,"$857,084",-11.6%,"1,414",-229,$606,"$12,502,509",7,Open Road Films (II)
